name,entry,basic_blocks,callees
sub_401000,0x401000,3,2
sub_401030,0x401030,5,0
sub_401060,0x401060,4,0
sub_4010a0,0x4010a0,48,13
sub_401670,0x401670,11,1
sub_4016d0,0x4016d0,1,1
sub_401730,0x401730,3,1
sub_401760,0x401760,9,1
sub_4017b0,0x4017b0,1,5
sub_401830,0x401830,2,4
sub_401910,0x401910,8,3
sub_401970,0x401970,39,4
sub_401bf0,0x401bf0,91,12
sub_401d17,0x401d17,62,8
sub_402120,0x402120,16,5
sub_4022c0,0x4022c0,1,4
sub_402330,0x402330,8,4
sub_4023e0,0x4023e0,1,1
sub_402400,0x402400,20,5
sub_402550,0x402550,5,2
sub_402565,0x402565,3,1
sub_402580,0x402580,27,4
sub_402680,0x402680,5,1
sub_4026c0,0x4026c0,33,4
sub_4027f0,0x4027f0,29,5
sub_402920,0x402920,29,4
sub_402a20,0x402a20,3,1
sub_402a60,0x402a60,1,0
sub_402a80,0x402a80,4,0
sub_402aa0,0x402aa0,4,0
sub_402ae0,0x402ae0,16,2
sub_402b80,0x402b80,7,2
sub_402c00,0x402c00,3,2
sub_402c50,0x402c50,7,2
sub_402cd0,0x402cd0,1,0
sub_402ce0,0x402ce0,1,0
sub_402cf0,0x402cf0,1,0
sub_402d00,0x402d00,4,0
sub_402d40,0x402d40,1,1
sub_402d60,0x402d60,4,0
sub_402d80,0x402d80,4,0
sub_402da0,0x402da0,4,0
sub_402dc0,0x402dc0,1,0
sub_402dd0,0x402dd0,1,4
sub_402e00,0x402e00,1,0
sub_402e20,0x402e20,9,0
sub_402e60,0x402e60,1,0
sub_402e70,0x402e70,1,0
sub_402e80,0x402e80,7,2
sub_402ee0,0x402ee0,1,0
sub_402f00,0x402f00,1,1
sub_402f30,0x402f30,6,1
sub_402f70,0x402f70,11,1
sub_402fe0,0x402fe0,1,1
sub_403020,0x403020,3,1
sub_403040,0x403040,1,1
sub_403070,0x403070,7,1
sub_4030c0,0x4030c0,5,2
sub_403110,0x403110,4,0
sub_403130,0x403130,1,0
sub_403140,0x403140,1,0
sub_403150,0x403150,4,0
sub_403180,0x403180,3,1
sub_4031c0,0x4031c0,1,0
sub_4031d0,0x4031d0,1,1
sub_4031f0,0x4031f0,1,0
